Framework,VCPU,Concurrency,Metric,N,Mean,Median,Std,Min,Max,CI95_Low,CI95_High,Shapiro_p,UseMedian,OutliersRemoved
python,4,50,CPU_Usage,4,106.25,105.5,3.4034,103.0,111.0,100.8344,111.6656,0.555821,False,1
python,4,50,RAM_MB,5,8513.8,8707.0,739.1121,7321.0,9262.0,7596.0711,9431.5289,0.505047,False,0
python,4,100,RPS,5,3.5419,3.575,0.5001,2.9975,4.2311,2.9209,4.1628,0.768195,False,0
python,4,100,P50_ms,5,3080.0,2900.0,983.3616,2100.0,4200.0,1858.9953,4301.0047,0.250511,False,0
python,4,100,P95_ms,4,128000.0,130000.0,7745.9667,117000.0,135000.0,115674.4385,140325.5615,0.414075,False,1
python,4,100,P99_ms,5,180200.0,151000.0,57490.8688,142000.0,278000.0,108815.6579,251584.3421,0.040235,True,0
python,4,100,ErrorRate,5,4.1338,3.8095,3.5623,1.0384,10.0932,-0.2894,8.5569,0.171951,False,0
python,4,100,TTA_ms,5,2587.4194,2373.99,691.8719,1901.1202,3645.4648,1728.347,3446.4918,0.60624,False,0
python,4,100,CPU_Usage,5,162.8,185.0,86.9897,19.0,235.0,54.7881,270.8119,0.222176,False,0
python,4,100,RAM_MB,4,4943.0,4846.0,4529.817,1021.0,9059.0,-2264.9497,12150.9497,0.038807,True,1
python,4,150,RPS,5,2.8415,2.6047,1.1088,1.7665,4.502,1.4647,4.2182,0.603456,False,0
python,4,150,P50_ms,5,5400.0,5700.0,2293.469,2900.0,7900.0,2552.2821,8247.7179,0.327977,False,0
python,4,150,P95_ms,5,223200.0,223000.0,20364.1842,203000.0,250000.0,197914.5256,248485.4744,0.49897,False,0
python,4,150,P99_ms,5,243000.0,245000.0,34263.6834,211000.0,295000.0,200456.0179,285543.9821,0.40845,False,0
python,4,150,ErrorRate,5,4.6725,6.2447,3.4534,0.3185,8.5589,0.3845,8.9604,0.463388,False,0
python,4,150,TTA_ms,5,6395.1129,5950.4389,1628.7941,4460.0443,8132.009,4372.6979,8417.528,0.359974,False,0
python,4,150,CPU_Usage,4,129.75,128.5,20.7103,109.0,153.0,96.7953,162.7047,0.534402,False,1
python,4,150,RAM_MB,4,6521.25,8036.5,3750.0646,1007.0,9005.0,554.0604,12488.4396,0.070171,False,1
python,4,250,RPS,5,2.3495,2.2778,0.6427,1.5002,3.0981,1.5515,3.1475,0.856694,False,0
python,4,250,P50_ms,5,14980.0,5100.0,16003.4996,3000.0,39000.0,-4890.9693,34850.9693,0.097136,False,0
python,4,250,P95_ms,5,310400.0,336000.0,109399.7258,176000.0,430000.0,174562.2991,446237.7009,0.556733,False,0
python,4,250,P99_ms,5,347400.0,342000.0,102588.011,225000.0,475000.0,220020.1601,474779.8399,0.847851,False,0
python,4,250,ErrorRate,5,2.9334,2.5381,2.0859,1.1173,6.1433,0.3434,5.5233,0.381234,False,0
python,4,250,TTA_ms,5,7471.3662,9325.3873,3981.2464,1798.4573,11393.1583,2527.9959,12414.7365,0.443617,False,0
python,4,250,CPU_Usage,4,106.5,129.0,64.4076,13.0,155.0,4.0132,208.9868,0.180189,False,1
python,4,250,RAM_MB,5,781984.4,1048576.0,722862.5313,7472.0,1453056.0,-115567.9808,1679536.7808,0.083621,False,0
python,4,300,RPS,5,3.9431,4.2672,1.3444,1.8805,5.2922,2.2737,5.6124,0.653777,False,0
python,4,300,P50_ms,5,7120.0,7300.0,1591.2259,4900.0,9000.0,5144.232,9095.768,0.962186,False,0
python,4,300,P95_ms,5,240800.0,245000.0,164215.4073,97000.0,502000.0,36899.6408,444700.3592,0.255695,False,0
python,4,300,P99_ms,5,264600.0,260000.0,164553.3348,114000.0,532000.0,60280.0484,468919.9516,0.290646,False,0
python,4,300,ErrorRate,5,11.2271,10.0096,5.8633,5.0439,19.1574,3.9469,18.5073,0.693833,False,0
python,4,300,TTA_ms,5,4359.2795,2992.3475,3842.8933,68.8923,9436.844,-412.3027,9130.8617,0.662435,False,0
python,4,300,CPU_Usage,5,162.8,176.0,92.993,12.0,257.0,47.3339,278.2661,0.476286,False,0
python,4,300,RAM_MB,4,5732.75,5577.5,419.8661,5424.0,6352.0,5064.6493,6400.8507,0.091555,False,1
python,4,350,RPS,5,8.2564,8.2305,4.4494,3.0421,14.8095,2.7318,13.781,0.920868,False,0
python,4,350,P50_ms,4,4275.0,3450.0,2334.345,2600.0,7600.0,560.5362,7989.4638,0.170512,False,1
python,4,350,P95_ms,5,83000.0,52000.0,64923.0314,28000.0,191000.0,2387.4093,163612.5907,0.162987,False,0
python,4,350,P99_ms,5,121400.0,53000.0,108075.4366,28000.0,264000.0,-12793.3787,255593.3787,0.112316,False,0
python,4,350,ErrorRate,5,3.9429,0.3442,5.496,0.0,12.0125,-2.8813,10.7671,0.064937,False,0
python,4,350,TTA_ms,4,37.1791,41.4644,27.4307,0.0,65.7876,-6.4692,80.8274,0.704247,False,1
python,4,350,CPU_Usage,4,157.25,134.0,64.2618,109.0,252.0,54.9951,259.5049,0.077818,False,1
python,4,350,RAM_MB,5,3803.8,5595.0,3015.427,500.0,6714.0,59.6529,7547.9471,0.063658,False,0
python,4,400,RPS,5,6.1195,5.864,1.7705,3.754,8.7123,3.9212,8.3178,0.6523,False,0
